iter	Passed	Remaining
0	2	229
1	3	177
2	4	147
3	5	128
4	6	119
5	7	113
6	8	109
7	9	109
8	11	111
9	12	112
10	14	119
11	16	120
12	18	122
13	20	124
14	21	122
15	23	121
16	24	121
17	26	119
18	30	128
19	31	127
20	33	124
21	34	122
22	36	121
23	38	122
24	40	120
25	44	126
26	46	124
27	47	122
28	49	120
29	50	118
30	51	115
31	53	113
32	54	110
33	56	109
34	58	109
35	60	107
36	62	105
37	66	108
38	68	107
39	74	112
40	76	110
41	77	106
42	78	104
43	80	101
44	81	99
45	82	96
46	87	98
47	89	96
48	92	96
49	94	94
50	95	91
51	96	89
52	98	87
53	100	85
54	101	82
55	102	80
56	104	78
57	105	76
58	106	74
59	107	71
60	109	69
61	110	67
62	112	66
63	114	64
64	116	62
65	118	60
66	119	58
67	120	56
68	121	54
69	123	52
70	124	50
71	129	50
72	130	48
73	132	46
74	133	44
75	134	42
76	136	40
77	137	38
78	138	36
79	141	35
80	143	33
81	144	31
82	145	29
83	147	28
84	148	26
85	150	24
86	151	22
87	152	20
88	156	19
89	157	17
90	159	15
91	160	13
92	161	12
93	162	10
94	163	8
95	165	6
96	167	5
97	172	3
98	173	1
99	174	0
